seq,l3_link_id,from_node_id,to_node_id,mp_start,mp_end,length,tracks,free_speed,name
56,56069,43997,44151,84.974,90.503,5.5283,2.0,25.0,
57,56371,44151,44000,90.503,96.593,6.0907,2.0,25.0,
58,56073,44000,11204,96.593,100.786,4.1924,2.0,25.0,
59,4225,11204,44057,100.786,103.026,2.2403,2.0,25.0,BLUEFIELD
60,56176,44057,38583,103.026,103.152,0.1259,2.0,25.0,
61,44824,38583,38582,103.152,103.178,0.0256,2.0,25.0,
62,44822,38582,39092,103.178,104.044,0.8669,2.0,25.0,
63,45901,39092,39093,104.044,105.434,1.3896,2.0,25.0,
64,45903,39093,39816,105.434,106.934,1.5004,2.0,25.0,
65,47446,39816,39817,106.934,108.427,1.4923,2.0,25.0,
66,47448,39817,40277,108.427,108.677,0.2498,2.0,25.0,
67,48329,40277,11261,108.677,109.094,0.4170,2.0,25.0,
68,4450,11261,40773,109.094,110.533,1.4397,2.0,25.0,FLAT TOP
69,49330,40773,40774,110.533,110.872,0.3384,2.0,25.0,
70,49332,40774,40775,110.872,111.076,0.2041,2.0,25.0,
71,49334,40775,44211,111.076,111.514,0.4383,2.0,25.0,
72,56486,44211,44173,111.514,114.005,2.4909,2.0,25.0,
73,56416,44173,44174,114.005,115.742,1.7373,2.0,25.0,
74,56417,44174,44344,115.742,117.128,1.3852,2.0,25.0,
75,56742,44344,44255,117.128,117.921,0.7930,2.0,25.0,
76,56578,44255,44170,117.921,118.923,1.0029,2.0,25.0,
77,56409,44170,43996,118.923,120.399,1.4753,2.0,25.0,
78,56066,43996,43994,120.399,121.569,1.1699,2.0,25.0,
79,56063,43994,43995,121.569,122.575,1.0066,2.0,25.0,
80,56064,43995,44345,122.575,122.997,0.4219,2.0,25.0,
81,56745,44345,11308,122.997,123.284,0.2872,2.0,25.0,
82,4588,11308,44346,123.284,123.700,0.4157,2.0,25.0,KEYSTONE
83,56747,44346,44348,123.700,123.751,0.0507,2.0,25.0,
84,56748,44348,44349,123.751,124.664,0.9130,2.0,25.0,
85,56751,44349,44350,124.664,125.372,0.7081,2.0,25.0,
